created_at,entry_id,soilmoisture,humidity,temperature
2021-04-28T19:10:03+05:30,258,197,74,33.3
2021-04-28T19:10:18+05:30,259,197,74,33.2
2021-04-28T19:10:33+05:30,260,197,74,33.2
2021-04-28T19:10:49+05:30,261,197,73,33.2
2021-04-28T19:11:04+05:30,262,196,73,33.1
2021-04-28T19:11:19+05:30,263,197,74,33
2021-04-28T19:11:34+05:30,264,196,74,33.1
2021-04-28T19:11:50+05:30,265,197,74,33.1
2021-04-28T19:12:05+05:30,266,197,75,33
2021-04-28T19:12:20+05:30,267,196,75,33
2021-04-28T19:12:36+05:30,268,196,75,33
2021-04-28T19:12:52+05:30,269,197,74,33
2021-04-28T19:13:07+05:30,270,197,74,33
2021-04-28T19:13:22+05:30,271,196,75,33
2021-04-28T19:13:38+05:30,272,196,75,33
2021-04-28T19:13:53+05:30,273,196,74,32.9
2021-04-28T19:14:09+05:30,274,196,74,32.9
2021-04-28T19:14:24+05:30,275,197,74,32.9
2021-04-28T19:14:39+05:30,276,196,74,32.8
2021-04-28T19:14:54+05:30,277,197,74,32.8
2021-04-28T19:15:10+05:30,278,196,75,32.8
2021-04-28T19:15:25+05:30,279,197,75,32.8
2021-04-28T19:15:40+05:30,280,196,75,32.8
2021-04-28T19:15:56+05:30,281,197,75,32.8
2021-04-28T19:16:11+05:30,282,197,74,32.8
2021-04-28T19:16:26+05:30,283,196,75,32.7
2021-04-28T19:16:42+05:30,284,196,75,32.7
2021-04-28T19:16:57+05:30,285,196,75,32.7
2021-04-28T19:17:12+05:30,286,197,75,32.7
2021-04-28T19:17:28+05:30,287,197,75,32.8
2021-04-28T19:17:43+05:30,288,196,75,32.8
2021-04-28T19:17:59+05:30,289,197,75,32.8
2021-04-28T19:18:14+05:30,290,197,75,32.8
2021-04-28T19:18:29+05:30,291,197,75,32.8
2021-04-28T19:18:44+05:30,292,197,74,32.7
2021-04-28T19:19:00+05:30,293,197,75,32.7
2021-04-28T19:19:15+05:30,294,196,74,32.7
2021-04-28T19:19:30+05:30,295,196,75,32.7
2021-04-28T19:19:46+05:30,296,197,74,32.7
2021-04-28T19:20:01+05:30,297,197,74,32.7
2021-04-28T19:20:16+05:30,298,197,74,32.7
2021-04-28T19:20:33+05:30,299,197,74,32.7
2021-04-28T19:20:48+05:30,300,197,74,32.7
2021-04-28T19:21:03+05:30,301,196,75,32.7
2021-04-28T19:21:19+05:30,302,197,75,32.7
2021-04-28T19:21:34+05:30,303,196,75,32.3
2021-04-28T19:21:49+05:30,304,196,74,32.7
2021-04-28T19:22:05+05:30,305,197,74,32.7
2021-04-28T19:22:20+05:30,306,196,74,32.6
2021-04-28T19:22:35+05:30,307,196,74,32.6
2021-04-28T19:22:50+05:30,308,196,74,32.6
2021-04-28T19:23:06+05:30,309,197,75,32.6
2021-04-28T19:23:48+05:30,310,197,74,32.5
2021-04-28T19:24:03+05:30,311,197,74,32.5
2021-04-28T19:24:19+05:30,312,197,75,32.5
2021-04-28T19:24:34+05:30,313,197,75,32.5
2021-04-28T19:24:50+05:30,314,197,75,32.5
2021-04-28T19:25:05+05:30,315,197,75,32.5
2021-04-28T19:25:20+05:30,316,196,75,32.5
2021-04-28T19:25:36+05:30,317,197,76,32.5
2021-04-28T19:25:51+05:30,318,197,76,33
2021-04-28T19:26:06+05:30,319,197,75,32.5
2021-04-28T19:26:22+05:30,320,196,75,32.6
2021-04-28T19:26:37+05:30,321,197,75,32.7
2021-04-28T19:26:52+05:30,322,197,75,32.7
2021-04-28T19:27:07+05:30,323,197,74,32.7
2021-04-28T19:27:23+05:30,324,197,74,32.7
2021-04-28T19:27:38+05:30,325,197,74,32.7
2021-04-28T19:27:54+05:30,326,197,74,32.7
2021-04-28T19:28:09+05:30,327,197,74,32.7
2021-04-28T19:28:25+05:30,328,196,74,32.7
2021-04-28T19:28:40+05:30,329,197,74,32.7
2021-04-28T19:28:55+05:30,330,197,74,32.7
2021-04-28T19:29:10+05:30,331,196,74,32.7
2021-04-28T19:29:26+05:30,332,197,74,32.7
2021-04-28T19:29:41+05:30,333,197,74,32.7
2021-04-28T19:29:59+05:30,334,196,74,32.7
2021-04-28T19:30:14+05:30,335,197,74,32.7
2021-04-28T19:30:30+05:30,336,197,74,32.8
2021-04-28T19:31:24+05:30,337,196,73,32.7
2021-04-28T19:31:39+05:30,338,196,74,32.7
